,es31FD0_D1123_MD4,es31FD0_D1133_MD14,es31FD0_D1134_MD15,es31FD770_D3_D770.3,es31FD770_D4_D770.4,es31FD909_D1_D909.1,es31FD909_D2_D909.2,es31FD909_D3_D909.3,es31FD909_D4_D909.4,es31FD909_D5_D909.5,es31FD909_D6_D909.6,es31FD909_D7_D909.7,es31FD910_D1_D910.1,es31FD910_D2_D910.2,es31FD916_D3_D916.3,es31FD918_D10_Det 10,es31FD918_D6_Det 6,es31FD918_D7_Det 7,es31FD918_D8_Det 8,es31FD918_D9_Det 9,ig13FD776_D1_Det 1,ig13FD776_D2_Det 2,ig13FD926_D1_D926.1,ig13FD926_D2_D926.2,ig13FD926_D7_D926.7,ig13FD926_D8_D926.8
00,50.00000000000001,14.666666666666666,8.333333333333332,91.66666666666667,79.33333333333331,6.333333333333333,47.0,14.666666666666666,4.0,76.66666666666667,41.33333333333332,13.0,23.333333333333336,12.333333333333332,6.0,18.000000000000004,59.33333333333333,28.333333333333332,19.333333333333332,42.666666666666664,0.0,9.687978750000001,2.0,3.0,91.57777770833334,120.03333291666668
01,28.333333333333332,10.999999999999998,4.0,63.0,47.666666666666664,4.0,21.333333333333336,5.0,2.0,36.333333333333336,17.0,5.0,10.0,13.999999999999998,7.0,10.333333333333334,38.0,17.666666666666668,5.333333333333333,18.0,1.0,7.655555416666666,1.0,1.0,51.64444416666668,66.94444404166667
02,13.0,4.333333333333334,3.0,47.66666666666666,25.666666666666668,6.0,28.0,10.666666666666666,5.0,44.333333333333336,23.666666666666668,3.0,19.0,6.0,9.666666666666666,6.0,31.666666666666664,15.333333333333332,10.0,21.666666666666668,1.0,7.655555583333333,0.9999999666666668,0.0,49.48571408333334,60.423809416666664
03,17.0,6.666666666666666,1.0,52.666666666666664,37.33333333333333,4.0,31.666666666666664,9.333333333333334,3.0,69.0,20.0,8.0,27.666666666666664,13.0,9.333333333333334,3.6666666666666665,37.0,21.666666666666668,9.0,24.333333333333336,1.0,9.482539616666667,0.0,3.9999998616666663,63.34444458333333,78.01111166666666
04,26.0,19.333333333333332,4.0,82.66666666666666,62.0,16.0,76.33333333333334,33.666666666666664,11.0,113.33333333333333,47.99999999999999,2.6666666666666665,42.00000000000001,18.0,9.0,27.0,59.00000000000001,23.333333333333336,10.0,59.33333333333334,3.3333333333333335,14.38015875,2.4285714166666663,3.0,86.99206225,94.10952433333331
05,52.33333333333333,40.666666666666664,24.0,252.66666666666666,236.66666666666669,23.333333333333332,148.66666666666666,84.66666666666667,17.666666666666664,190.0,94.66666666666667,20.333333333333336,107.66666666666666,78.33333333333334,11.0,90.33333333333333,154.0,118.33333333333334,51.666666666666664,136.0,14.730158583333335,47.19971425,4.333333333333334,0.0,165.97777833333333,139.28888916666668
06,212.00000000000003,161.66666666666666,81.33333333333334,659.3333333333334,870.3333333333333,49.00000000000001,373.66666666666663,305.6666666666667,34.66666666666667,525.0,297.6666666666667,136.0,406.0,634.3333333333333,35.666666666666664,226.6666666666667,416.6666666666667,404.99999999999994,113.33333333333334,381.6666666666667,7.877291583333333,154.80680383333333,10.0,2.0134228333333333,320.06711666666666,244.65324166666664
07,450.3333333333333,422.66666666666663,225.00000000000003,1042.3333333333333,1421.9999999999998,99.66666666666667,508.00000000000006,459.33333333333326,100.33333333333333,783.0,573.3333333333334,212.0,560.6666666666667,879.3333333333333,101.66666666666666,415.33333333333337,588.0,620.0,221.00000000000003,692.6666666666667,4.444444416666666,67.3828325,23.333333333333336,20.0,370.0,290.0
08,412.3333333333333,399.3333333333333,238.66666666666666,1085.3333333333335,1386.3333333333335,130.66666666666666,483.0,473.6666666666667,129.33333333333331,669.9999999999999,599.0,200.66666666666669,488.3333333333333,754.3333333333334,134.0,412.00000000000006,537.6666666666666,587.6666666666666,257.6666666666667,708.0,36.66666666666667,193.33333333333331,0.0,6.666666666666667,116.66666666666667,100.0
09,363.3333333333333,348.33333333333337,209.33333333333337,1111.0,1408.0,134.0,505.66666666666663,481.3333333333333,167.6666666666667,809.8095249999999,1131.3809583333334,222.0,471.99999999999994,736.0,136.0,374.66666666666663,555.3333333333334,595.6666666666667,246.33333333333334,616.0,59.92674,199.70695833333332,13.333333333333334,20.0,226.66666666666663,190.0
