lat	lon
47.4884098	19.0687913
47.4238585	19.070138
47.4686978	19.0674592
47.493851	19.043373
47.4520526	19.1438893
47.454646	19.181749
47.5139638	19.1681817
47.510889	19.0100013
47.52914	19.064889
47.5136087	19.0497299
47.4883904	19.0625173
47.4955755	19.0398822
47.5253531	19.0893862
47.4104988	19.1116876
47.527782	19.038023
47.4651465	19.0733295
47.494631	19.028468
47.5351803	18.9998068
47.498467	19.0594862
47.4848105	19.0765491
47.4532274	19.1430572
47.4508926	19.154423
47.461229	18.9674516
47.3999571	19.1184868
47.4984145	19.0483857
47.5326567	19.0667946
47.4965785	19.066204
47.485456	19.0466296
47.4731179	19.0517008
47.493186	19.0443149
47.46864	19.1553273
47.507146	19.170512
47.4606653	19.0519364
47.6062797	19.1119724
47.498391	19.124486
47.3791075	19.0548272
47.5489803	19.1473121
47.4870841	19.0704162
47.5016667	19.0397222
47.3778148	19.043912
47.4459073	19.1905322
47.5380875	19.0839163
47.5348724	19.1027207
47.5116456	19.0263388
47.505752	19.1124783
47.469443	19.145705
47.4965644	19.0558593
47.5827724	18.9458754
47.5461293	19.2339108
47.5554408	18.970982
47.4407892	19.2244015
47.5555491	18.9988629
47.4830556	19.0694444
47.4954981	19.062397
47.4860426	19.0762853
47.4895271	19.0614875
47.4378888	19.0940769
47.5104047	19.0527404
47.4184146	19.0637461
