place_id,name,lat,lon,node_type,address,place,popular_times,rating,rating_n,current_popularity,time_spent
ChIJ--4BfpndQUcRjpJg7hiB8xw,Erste Bank fiók,47.4554815,19.040086499999997,bank,"Budapest, Fehérvári út 130","Erste Bank fiók Budapest, Fehérvári út 130 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 37, 59, 57, 53, 62, 78, 86, 83, 68, 49, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 52, 85, 82, 66, 67, 75, 71, 53, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 38, 67, 83, 80, 80, 93, 93, 66, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 78, 78, 45, 63, 88, 100, 89, 63, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 60, 94, 95, 77, 67, 60, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",2.5,38,66,"[15, 45]"
ChIJ-0E_HgjcQUcRgIO_M1yonik,Sarki Fűszeres,47.519380700000006,19.0523938,cafe,"Budapest, Pozsonyi út 53-55","Sarki Fűszeres Budapest, Pozsonyi út 53-55 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 28, 50, 69, 77, 72, 59, 48, 42, 36, 27, 16, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 38, 68, 70, 54, 48, 51, 53, 51, 47, 41, 33, 24, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 43, 63, 73, 71, 60, 50, 45, 46, 47, 45, 38, 29, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 33, 52, 68, 72, 65, 54, 45, 42, 41, 38, 31, 22, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 45, 64, 76, 78, 72, 61, 52, 47, 45, 43, 40, 35, 27, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 79, 100, 93, 69, 48, 42, 46, 49, 43, 31, 17, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 77, 63, 65, 72, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",4.6,860,39,"[25, 90]"
ChIJ-1QITYDZQUcRu79smsboi-g,Szigetcsúcs Óbudai-sziget,47.5603421,19.060703399999998,park,Budapest,Szigetcsúcs Óbudai-sziget Budapest budapest,"[{'name': 'Monday', 'data': [1, 1, 1, 1, 1, 1, 0, 4, 7, 10, 12, 12, 12, 13, 20, 22, 26, 35, 38, 29, 15, 2, 1, 1]}, {'name': 'Tuesday', 'data': [1, 1, 1, 1, 1, 1, 0, 2, 5, 9, 12, 14, 16, 16, 16, 15, 19, 35, 50, 37, 12, 0, 1, 1]}, {'name': 'Wednesday', 'data': [1, 1, 1, 1, 1, 1, 3, 9, 14, 17, 19, 17, 14, 10, 10, 16, 30, 44, 45, 32, 16, 4, 1, 1]}, {'name': 'Thursday', 'data': [1, 1, 1, 1, 1, 1, 1, 3, 5, 7, 9, 12, 14, 16, 20, 28, 40, 49, 48, 35, 20, 10, 4, 1]}, {'name': 'Friday', 'data': [1, 1, 1, 1, 1, 1, 4, 8, 9, 10, 19, 21, 9, 6, 16, 31, 46, 54, 51, 39, 23, 9, 0, 1]}, {'name': 'Saturday', 'data': [1, 1, 1, 1, 1, 1, 1, 5, 16, 28, 37, 40, 41, 50, 66, 85, 98, 100, 88, 68, 45, 25, 12, 3]}, {'name': 'Sunday', 'data': [1, 1, 1, 1, 1, 1, 1, 8, 22, 41, 60, 69, 67, 58, 56, 66, 81, 87, 75, 49, 24, 7, 1, 1]}]",4.8,434,16,"[10, 60]"
ChIJ-2IeIkTcQUcRnmhAe6L2jQk,Duna Dental Fogászat Budapest,47.4917714,19.053533899999998,dentist,"Budapest, Duna utca 3","Duna Dental Fogászat Budapest Budapest, Duna utca 3 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 30, 43, 64, 63, 60, 67, 74, 73, 64, 51, 36, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 71, 89, 85, 70, 62, 70, 84, 92, 86, 67, 43, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 70, 82, 79, 82, 93, 95, 82, 64, 46, 34, 25, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 51, 69, 83, 87, 83, 79, 80, 85, 85, 71, 47, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 48, 93, 100, 67, 45, 54, 70, 68, 48, 27, 14, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 20, 24, 24, 23, 22, 20, 18, 16, 12, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",4.5,87,38,"[30, 60]"
ChIJ-2KkD-3bQUcRUYpNUVmnGXY,Spar,47.5284139,19.0687713,supermarket,"Budapest, Dunyov István utca 9","Spar Budapest, Dunyov István utca 9 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 35, 46, 52, 53, 55, 60, 62, 56, 53, 64, 85, 100, 95, 74, 44, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 31, 44, 56, 65, 69, 69, 65, 62, 65, 73, 84, 89, 84, 68, 45, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 37, 52, 64, 71, 72, 67, 60, 56, 60, 71, 84, 89, 82, 63, 40, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 33, 52, 63, 65, 64, 64, 64, 63, 65, 74, 86, 92, 86, 70, 47, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 28, 45, 58, 63, 62, 57, 53, 51, 55, 64, 76, 84, 80, 62, 38, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 16, 27, 39, 51, 61, 66, 65, 61, 55, 54, 57, 60, 57, 45, 27, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 26, 42, 54, 57, 51, 41, 40, 56, 83, 95, 76, 41, 0, 0, 0, 0]}]",3.3,501,48,"[15, 15]"
ChIJ-3QfpenbQUcRwRPr46Xq9nE,Karikás Frigyes utcai felnőtt háziorvosi rendelő.,47.5351785,19.0662467,doctor,"Budapest, Karikás Frigyes utca 1b","Karikás Frigyes utcai felnőtt háziorvosi rendelő. Budapest, Karikás Frigyes utca 1b budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 25, 55, 79, 76, 53, 34, 35, 51, 66, 70, 59, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 55, 89, 100, 79, 44, 24, 30, 61, 87, 80, 47, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 48, 67, 75, 71, 57, 44, 44, 56, 69, 70, 55, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 43, 59, 66, 61, 51, 47, 58, 73, 77, 61, 37, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 37, 47, 47, 40, 31, 27, 29, 34, 37, 35, 28, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",2.7,19,8,"[25, 25]"
ChIJ-3UkzC7CQUcRNVb6JXKH_Lc,Szemeretelep vasútállomás,47.444210999999996,19.213256,transit_station,Hungary,Szemeretelep vasútállomás Hungary budapest,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 23, 56, 77, 72, 50, 35, 32, 35, 40, 45, 49, 50, 46, 38, 28, 17, 6, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 3, 25, 70, 100, 75, 40, 29, 31, 34, 37, 44, 58, 69, 61, 39, 21, 12, 6, 2, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 11, 26, 45, 62, 69, 64, 50, 34, 25, 27, 44, 68, 84, 78, 55, 30, 14, 6, 2, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 1, 0, 11, 49, 86, 91, 67, 49, 45, 42, 43, 50, 59, 62, 59, 50, 37, 23, 10, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 1, 26, 50, 50, 34, 28, 35, 50, 64, 75, 81, 80, 73, 60, 45, 29, 16, 5, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 3, 11, 18, 25, 29, 29, 27, 24, 23, 24, 25, 26, 26, 22, 16, 9, 3, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 2, 6, 11, 16, 19, 22, 23, 23, 21, 22, 27, 27, 15, 2, 0, 0, 0]}]",2.3,25,61,
ChIJ-4VEHo_ZQUcRFDMuZLmRbFs,Bagetto,47.5708172,19.0619386,bakery,"Budapest, Nánási út 47-49","Bagetto Budapest, Nánási út 47-49 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 13, 24, 30, 27, 19, 12, 10, 12, 16, 16, 12, 7, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 21, 27, 31, 35, 35, 28, 19, 16, 18, 20, 18, 13, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 26, 41, 32, 18, 19, 24, 19, 13, 15, 18, 17, 10, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 21, 35, 41, 35, 26, 20, 16, 15, 15, 16, 16, 14, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 19, 35, 46, 44, 30, 15, 6, 7, 16, 24, 21, 10, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 34, 63, 90, 100, 87, 65, 46, 36, 31, 26, 18, 10, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 30, 49, 57, 54, 44, 32, 27, 26, 20, 11, 0, 0, 0, 0, 0, 0]}]",4.6,324,12,"[10, 45]"
ChIJ-5CU2lXbQUcRP3l4812G0ps,C&A,47.502942499999996,19.1371,clothing_store,"Budapest, Örs vezér tere 25, Árkád Bevásárlóközpont","C&A Budapest, Örs vezér tere 25, Árkád Bevásárlóközpont budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 41, 46, 39, 42, 41, 43, 55, 54, 30, 3, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 43, 51, 36, 42, 63, 71, 63, 49, 26, 1, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 39, 39, 38, 44, 50, 56, 59, 50, 27, 5, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 34, 43, 37, 36, 51, 68, 70, 52, 26, 4, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 55, 43, 42, 65, 70, 58, 57, 53, 29, 4, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 86, 93, 82, 92, 100, 86, 68, 47, 22, 1, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 84, 76, 78, 88, 76, 84, 65, 13, 0, 0, 0, 0, 0]}]",4.3,848,56,
ChIJ-5RrW8HZQUcRLsucu7I-aeY,"Rokon Sport Kerékpárüzlet, Sí-és snowboard szakbolt, szerviz",47.586059000000006,19.0461879,bicycle_store,"Budapest, Mátyás király út 6","Rokon Sport Kerékpárüzlet, Sí-és snowboard szakbolt, szerviz Budapest, Mátyás király út 6 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 30, 42, 42, 39, 53, 73, 52, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 61, 21, 20, 44, 69, 75, 57, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20, 33, 41, 46, 75, 100, 59, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 28, 35, 22, 12, 31, 68, 71, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 26, 39, 50, 56, 55, 46, 33, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 67, 74, 53, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",4.6,173,12,"[15, 15]"
