place_id,name,lat,lon,node_type,address,place,popular_times,rating,rating_n,current_popularity,time_spent
ChIJ--4BfpndQUcRjpJg7hiB8xw,Erste Bank fiók,47.4554815,19.040086499999997,bank,"Budapest, Fehérvári út 130","Erste Bank fiók Budapest, Fehérvári út 130 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 33, 60, 56, 55, 73, 90, 91, 76, 52, 29, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 36, 76, 93, 77, 61, 58, 56, 43, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 40, 60, 65, 66, 85, 100, 79, 38, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 61, 78, 71, 66, 70, 70, 60, 44, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 79, 79, 53, 58, 64, 59, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",2.4,39,57,"[15, 45]"
ChIJ-0E_HgjcQUcRgIO_M1yonik,Sarki Fűszeres,47.519380700000006,19.0523938,cafe,"Budapest, Pozsonyi út 53-55","Sarki Fűszeres Budapest, Pozsonyi út 53-55 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 31, 52, 68, 73, 68, 59, 53, 49, 45, 36, 24, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 46, 70, 61, 51, 54, 61, 63, 62, 57, 50, 40, 30, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 50, 70, 80, 76, 63, 51, 44, 45, 46, 46, 42, 33, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 35, 54, 69, 72, 64, 52, 44, 44, 48, 47, 38, 24, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 69, 75, 68, 64, 65, 65, 60, 52, 45, 40, 35, 30, 25, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 82, 100, 95, 79, 66, 58, 53, 48, 41, 33, 25, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 82, 93, 89, 73, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",4.6,864,70,"[20, 90]"
ChIJ-1QITYDZQUcRu79smsboi-g,Szigetcsúcs Óbudai-sziget,47.5603421,19.060703399999998,park,Budapest,Szigetcsúcs Óbudai-sziget Budapest budapest,"[{'name': 'Monday', 'data': [1, 1, 1, 1, 1, 1, 1, 4, 8, 12, 16, 18, 20, 24, 40, 40, 29, 35, 38, 25, 7, 1, 1, 1]}, {'name': 'Tuesday', 'data': [1, 1, 1, 1, 1, 1, 1, 5, 8, 10, 12, 12, 11, 10, 13, 20, 31, 38, 35, 23, 10, 1, 1, 1]}, {'name': 'Wednesday', 'data': [1, 1, 1, 1, 1, 1, 5, 9, 12, 14, 14, 13, 10, 10, 12, 20, 30, 36, 35, 25, 13, 3, 1, 1]}, {'name': 'Thursday', 'data': [1, 1, 1, 1, 1, 1, 0, 1, 3, 5, 7, 10, 12, 16, 22, 32, 41, 44, 38, 26, 14, 5, 0, 1]}, {'name': 'Friday', 'data': [1, 1, 1, 1, 1, 1, 1, 5, 8, 11, 13, 13, 13, 14, 16, 23, 42, 60, 51, 27, 13, 7, 2, 1]}, {'name': 'Saturday', 'data': [1, 1, 1, 1, 1, 1, 1, 4, 15, 29, 39, 41, 40, 48, 67, 88, 100, 96, 79, 54, 31, 14, 4, 1]}, {'name': 'Sunday', 'data': [1, 1, 1, 1, 1, 1, 3, 8, 19, 40, 65, 78, 76, 75, 82, 90, 87, 70, 45, 23, 7, 1, 1, 1]}]",4.8,437,7,"[10, 45]"
ChIJ-2EU2jPdQUcRryDMN2ObL0g,Delta-Truck Kft.,47.45689,19.103818,car_repair,"Budapest, Táblás utca 38","Delta-Truck Kft. Budapest, Táblás utca 38 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 69, 89, 85, 72, 69, 71, 68, 57, 43, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 74, 80, 67, 66, 78, 89, 88, 74, 53, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 82, 88, 97, 94, 86, 82, 80, 74, 61, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 86, 75, 94, 100, 85, 78, 79, 73, 57, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 70, 65, 63, 68, 72, 77, 83, 79, 57, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",4.3,138,9,"[15, 60]"
ChIJ-2IeIkTcQUcRnmhAe6L2jQk,Duna Dental Fogászat Budapest,47.4917714,19.053533899999998,dentist,"Budapest, Duna utca 3","Duna Dental Fogászat Budapest Budapest, Duna utca 3 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 43, 50, 48, 52, 60, 68, 74, 73, 65, 51, 34, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 77, 96, 97, 83, 69, 65, 68, 72, 71, 61, 46, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 57, 76, 87, 89, 84, 79, 74, 67, 57, 45, 32, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 46, 66, 82, 87, 84, 79, 81, 90, 90, 74, 45, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 64, 98, 100, 71, 51, 55, 64, 57, 38, 20, 12, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 22, 20, 20, 23, 23, 21, 18, 14, 10, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",4.5,87,5,"[30, 60]"
ChIJ-2KkD-3bQUcRUYpNUVmnGXY,Spar,47.5284139,19.0687713,supermarket,"Budapest, Dunyov István utca 9","Spar Budapest, Dunyov István utca 9 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 30, 40, 49, 54, 54, 50, 45, 43, 47, 58, 72, 81, 78, 62, 39, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 30, 43, 53, 60, 60, 57, 54, 57, 68, 85, 98, 100, 85, 60, 33, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 46, 58, 60, 56, 57, 65, 73, 72, 66, 67, 74, 79, 75, 62, 44, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 38, 58, 68, 66, 63, 72, 75, 64, 60, 70, 83, 87, 80, 65, 44, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 29, 43, 54, 59, 60, 61, 62, 65, 70, 75, 80, 80, 70, 53, 31, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 11, 20, 32, 43, 53, 57, 56, 49, 44, 43, 49, 56, 56, 44, 25, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 19, 38, 56, 62, 53, 40, 36, 52, 81, 98, 86, 53, 0, 0, 0, 0]}]",3.3,503,68,"[15, 15]"
ChIJ-3QfpenbQUcRwRPr46Xq9nE,Karikás Frigyes utcai felnőtt háziorvosi rendelő.,47.5351785,19.0662467,doctor,"Budapest, Karikás Frigyes utca 1b","Karikás Frigyes utcai felnőtt háziorvosi rendelő. Budapest, Karikás Frigyes utca 1b budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 51, 74, 77, 57, 34, 27, 45, 76, 100, 94, 64, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 63, 87, 93, 78, 53, 38, 43, 64, 81, 76, 51, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 52, 71, 80, 75, 61, 52, 57, 72, 82, 73, 50, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 40, 74, 95, 85, 57, 42, 49, 67, 79, 76, 58, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 42, 46, 43, 36, 31, 30, 35, 41, 44, 41, 32, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",2.7,19,9,"[25, 25]"
ChIJ-3UkzC7CQUcRNVb6JXKH_Lc,Szemeretelep vasútállomás,47.444210999999996,19.213256,transit_station,Hungary,Szemeretelep vasútállomás Hungary budapest,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 11, 34, 62, 73, 55, 30, 20, 25, 39, 54, 65, 68, 62, 49, 32, 16, 5, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 4, 32, 73, 96, 76, 37, 14, 14, 27, 44, 62, 74, 77, 71, 56, 39, 23, 11, 3, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 12, 37, 69, 93, 96, 78, 53, 37, 34, 42, 55, 66, 72, 70, 61, 48, 33, 18, 7, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 4, 26, 59, 88, 97, 80, 54, 37, 36, 46, 60, 71, 75, 72, 62, 47, 30, 16, 5, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 3, 17, 35, 50, 57, 54, 47, 43, 49, 63, 81, 95, 100, 93, 78, 57, 36, 18, 5, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 2, 6, 12, 22, 33, 42, 45, 40, 33, 28, 28, 32, 34, 32, 26, 17, 8, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 2, 6, 10, 15, 21, 28, 34, 36, 35, 33, 31, 29, 24, 15, 5, 0, 0, 0]}]",2.3,25,87,
ChIJ-4VEHo_ZQUcRFDMuZLmRbFs,Bagetto,47.5708172,19.0619386,bakery,"Budapest, Nánási út 47-49","Bagetto Budapest, Nánási út 47-49 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 7, 15, 22, 23, 18, 13, 12, 14, 17, 17, 14, 8, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 16, 20, 24, 33, 33, 19, 12, 14, 17, 19, 17, 13, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 11, 25, 31, 27, 22, 20, 18, 16, 17, 17, 15, 9, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 15, 23, 28, 29, 27, 22, 18, 16, 18, 21, 17, 8, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 17, 31, 37, 33, 24, 19, 18, 18, 17, 15, 12, 9, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 30, 62, 92, 100, 85, 62, 43, 31, 26, 24, 19, 12, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 30, 42, 41, 40, 40, 36, 31, 28, 20, 10, 0, 0, 0, 0, 0, 0]}]",4.6,325,0,"[10, 45]"
ChIJ-6FvO4jbQUcROeO39pe3Sxs,Museum of Fine Arts,47.516203600000004,19.0764374,museum,"Budapest, Dózsa György út 41","Museum of Fine Arts Budapest, Dózsa György út 41 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 45, 49, 48, 42, 35, 27, 20, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 53, 57, 57, 55, 51, 43, 33, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 68, 72, 72, 71, 70, 60, 42, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 68, 76, 75, 69, 61, 48, 31, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 74, 93, 95, 96, 100, 82, 43, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 68, 81, 79, 81, 81, 61, 30, 0, 0, 0, 0, 0, 0]}]",4.7,5292,39,"[150, 150]"
